website,stars
https://github.com/JesusFreke/smali,2361
https://github.com/vespa-engine/vespa,2359
https://github.com/apache/groovy,2354
https://github.com/owncloud/android,2346
https://github.com/danylovolokh/VideoPlayerManager,2343
https://github.com/hazelcast/hazelcast,2342
https://github.com/worker8/TourGuide,2340
https://github.com/firebase/FirebaseUI-Android,2319
https://github.com/donglua/PhotoPicker,2311
https://github.com/journeyapps/zxing-android-embedded,2309
https://github.com/ximsfei/Android-skin-support,2306
https://github.com/davideas/FlexibleAdapter,2297
https://github.com/RobotiumTech/robotium,2295
https://github.com/googlemaps/android-maps-utils,2292
https://github.com/yusugomori/DeepLearning,2291
https://github.com/zo0r/react-native-push-notification,2281
https://github.com/florent37/ExpectAnim,2280
https://github.com/google/binnavi,2279
https://github.com/requery/requery,2279
https://github.com/saulmm/CoordinatorBehaviorExample,2278
https://github.com/SonarSource/sonarqube,2275
https://github.com/mrniko/netty-socketio,2273
https://github.com/aws/aws-sdk-java,2266
https://github.com/Prototik/HoloEverywhere,2259
https://github.com/theDazzler/droidicon,2258
https://github.com/grails/grails-core,2252
https://github.com/h2oai/h2o-2,2249
https://github.com/hmkcode/Android,2247
https://github.com/jprante/elasticsearch-jdbc,2242
https://github.com/jfinal/jfinal,2241
https://github.com/pnikosis/materialish-progress,2239
https://github.com/pedrovgs/Algorithms,2234
https://github.com/rabbitmq/rabbitmq-tutorials,2229
https://github.com/MovingBlocks/Terasology,2229
https://github.com/markushi/android-ui,2227
https://github.com/romainguy/ViewServer,2224
https://github.com/ozodrukh/CircularReveal,2224
https://github.com/sd6352051/NiftyDialogEffects,2223
https://github.com/Bilibili/boxing,2219
https://github.com/JoanZapata/android-pdfview,2218
https://github.com/vavr-io/vavr,2217
https://github.com/google/hover,2217
https://github.com/Nightonke/WoWoViewPager,2216
https://github.com/wonderkiln/BlurKit-Android,2212
https://github.com/Blankj/awesome-java-leetcode,2211
https://github.com/oguzbilgener/CircularFloatingActionMenu,2209
https://github.com/hongyangAndroid/Highlight,2201
